Dia,Mes,Umidade,Velocidade do Vento,Temperatura Prevista (ºC)
1,1,97,16,3.7544193
2,1,67,6,22.624353
3,1,66,2,27.939178
4,1,92,5,18.826889
5,1,97,17,2.4764874
6,1,98,12,8.663142
7,1,62,2,28.969904
8,1,95,7,15.661954
9,1,53,5,27.22394
10,1,59,14,14.024968
11,1,90,4,20.5109
12,1,58,0,32.921265
13,1,40,5,30.854485
14,1,93,16,4.5664477
15,1,58,1,31.50308
16,1,77,17,6.5367584
17,1,77,10,15.482422
18,1,96,7,15.458927
19,1,99,10,11.016048
20,1,92,9,13.715127
21,1,52,10,20.557854
22,1,82,5,20.85706
23,1,66,18,7.492025
24,1,44,6,28.31774
25,1,72,12,13.941603
26,1,88,3,22.194862
27,1,48,18,11.146358
28,1,92,9,13.715127
29,1,42,7,27.458569
30,1,44,1,35.41083
31,1,82,12,11.911455
1,2,48,12,18.814054
2,2,54,1,32.61801
3,2,52,5,27.502716
4,2,42,8,26.04023
5,2,58,14,14.227973
6,2,80,9,16.151306
7,2,92,9,13.715127
8,2,86,9,14.933223
9,2,96,16,3.9574234
10,2,64,7,21.955507
11,2,68,12,14.753713
12,2,96,4,19.295683
13,2,93,19,0.7526015
14,2,89,5,19.435959
15,2,98,9,12.497008
16,2,81,13,10.836493
17,2,53,10,20.354803
18,2,96,12,9.069209
19,2,76,8,18.241348
20,2,77,5,21.87215
21,2,70,6,22.01533
22,2,55,2,30.92106
23,2,92,6,17.548958
24,2,61,10,18.730675
25,2,78,2,25.502989
26,2,95,4,19.49774
27,2,51,14,15.649073
28,2,78,15,8.889665
1,3,95,14,6.716338
2,3,91,3,21.586424
3,3,98,14,6.107279
4,3,65,5,24.30839
5,3,51,12,18.204994
6,3,77,5,21.87215
7,3,52,3,30.339075
8,3,47,11,20.387236
9,3,63,1,30.109371
10,3,70,15,10.513839
11,3,68,8,19.865463
12,3,83,11,12.986347
13,3,59,18,8.913159
14,3,61,2,29.248655
15,3,55,1,32.339245
16,3,79,17,6.1307263
17,3,51,13,16.92705
18,3,91,6,17.751963
19,3,63,1,30.109371
20,3,64,1,29.83063
21,3,71,5,23.09028
22,3,78,17,6.333778
23,3,97,3,20.374296
24,3,57,0,33.199974
25,3,75,19,4.3869495
26,3,67,11,16.234625
27,3,69,13,13.272741
28,3,81,12,12.114448
29,3,57,10,19.54281
30,3,56,16,12.078106
31,3,85,4,21.525934
1,4,41,14,17.809738
2,4,52,15,14.168125
3,4,87,5,19.841969
4,4,63,1,30.109371
5,4,65,2,28.142197
6,4,56,1,32.060528
7,4,77,4,23.150084
8,4,56,10,19.745766
9,4,77,13,11.648579
10,4,47,9,23.223831
11,4,61,4,26.412262
12,4,99,18,0.8024925
13,4,68,5,23.699305
14,4,60,2,29.52734
15,4,48,4,30.035938
16,4,52,0,34.593704
17,4,61,13,14.896869
18,4,40,9,25.181084
19,4,73,4,23.96217
20,4,77,16,7.814737
21,4,54,7,24.108826
22,4,64,3,27.067291
23,4,70,2,27.127138
24,4,63,13,14.490837
25,4,91,17,3.6945477
26,4,60,19,7.432188
27,4,56,5,26.38776
28,4,44,2,33.991478
29,4,59,5,25.551535
30,4,62,1,30.388124
1,5,80,5,21.263079
2,5,96,12,9.069209
3,5,49,2,32.59352
4,5,71,9,17.978483
5,5,77,14,10.37066
6,5,45,6,28.038086
7,5,58,3,28.666649
8,5,42,5,30.295292
9,5,91,14,7.52839
10,5,57,7,23.376593
11,5,41,13,19.228136
12,5,78,2,25.502989
13,5,52,0,34.593704
14,5,97,8,13.977944
15,5,97,11,10.144125
16,5,97,7,15.255899
17,5,41,13,19.228136
18,5,76,15,9.295732
19,5,65,10,17.918634
20,5,90,13,9.009361
21,5,66,5,24.10536
22,5,43,6,28.597334
23,5,53,16,12.687154
24,5,97,19,0.0
25,5,50,18,10.740325
26,5,72,14,11.385727
