Dia,Mes,Umidade,Velocidade do Vento,Temperatura Prevista (ºC)
1,1,48,5,18.6427
2,1,40,19,37.0
3,1,98,4,6.5775213
4,1,70,2,9.124378
5,1,54,17,32.250786
6,1,57,0,8.545201
7,1,62,6,17.369316
8,1,79,12,22.317337
9,1,58,1,9.981102
10,1,79,11,21.300577
11,1,88,4,8.661686
12,1,68,9,21.051723
13,1,86,19,28.07665
14,1,81,10,19.895935
15,1,50,8,23.158945
16,1,93,4,7.6196465
17,1,71,16,27.936255
18,1,98,2,3.288718
19,1,56,19,33.896255
20,1,88,8,15.239037
21,1,94,13,20.424297
22,1,67,18,30.745543
23,1,54,5,17.392202
24,1,67,18,30.745543
25,1,74,1,6.6463532
26,1,86,18,27.05989
27,1,89,14,22.411106
28,1,89,16,24.444544
29,1,81,3,8.476284
30,1,69,12,24.257265
31,1,65,4,13.455221
1,2,46,18,34.81942
2,2,80,1,5.3958545
3,2,83,11,20.524725
4,2,89,4,8.453312
5,2,79,9,18.759272
6,2,67,17,29.728952
7,2,54,13,28.18374
8,2,65,12,25.0332
9,2,51,7,21.306128
10,2,44,12,29.106905
11,2,90,0,1.6673315
12,2,77,8,17.531746
13,2,40,0,12.088153
14,2,93,9,15.841442
15,2,53,7,20.889296
16,2,89,7,13.386304
17,2,71,7,17.137798
18,2,93,7,12.552638
19,2,81,1,5.1875663
20,2,40,17,34.966476
21,2,74,0,5.001994
22,2,44,5,19.476366
23,2,73,5,13.432248
24,2,57,9,23.344433
25,2,92,13,20.812265
26,2,61,9,22.510683
27,2,47,16,32.591785
28,2,92,10,17.694176
1,3,81,3,8.476284
2,3,90,1,3.3116903
3,3,89,16,24.444544
4,3,86,0,2.5010824
5,3,40,7,23.598837
6,3,87,9,17.09194
7,3,97,2,3.4972627
8,3,82,8,16.489536
9,3,89,5,10.0976715
10,3,78,10,20.477842
11,3,72,15,26.725468
12,3,72,8,18.573612
13,3,40,11,28.865995
14,3,58,1,9.981102
15,3,52,17,32.638668
16,3,88,11,19.55485
17,3,56,18,32.879494
18,3,86,18,27.05989
19,3,56,17,31.862734
20,3,61,8,20.866322
21,3,87,6,12.158692
22,3,49,15,31.187227
23,3,44,16,33.173782
24,3,46,14,30.752377
25,3,68,5,14.474374
26,3,87,11,19.748875
27,3,95,14,21.247116
28,3,73,8,18.36541
29,3,50,5,18.225868
30,3,86,13,21.976255
31,3,55,19,34.0902
1,4,41,0,11.879693
2,4,73,17,28.564964
3,4,91,14,22.023052
4,4,43,19,36.41792
5,4,61,6,17.577604
6,4,42,7,23.18192
7,4,75,2,8.082253
8,4,84,6,12.783984
9,4,80,9,18.550728
10,4,80,19,29.240555
11,4,81,11,20.912695
12,4,72,0,5.4189124
13,4,47,19,35.641983
14,4,55,9,23.76118
15,4,71,19,30.986368
16,4,97,2,3.4972627
17,4,90,1,3.3116903
18,4,99,11,17.421068
19,4,73,18,29.581724
20,4,40,2,15.376956
21,4,71,13,24.885971
22,4,86,8,15.655954
23,4,98,4,6.5775213
24,4,47,8,23.784153
25,4,93,5,9.26392
26,4,59,1,9.772557
27,4,49,17,33.22075
28,4,78,6,14.034483
29,4,63,19,32.538326
30,4,91,19,27.106861
1,5,83,1,4.7706485
2,5,85,14,23.187042
3,5,49,16,32.203815
4,5,77,16,26.77218
5,5,58,11,25.374283
6,5,56,19,33.896255
7,5,56,3,13.686566
8,5,87,16,24.832426
9,5,73,6,15.076693
10,5,68,6,16.11856
11,5,62,10,23.58167
12,5,40,17,34.966476
13,5,53,13,28.377684
14,5,68,13,25.467968
15,5,48,5,18.6427
16,5,68,18,30.551601
17,5,94,10,17.277256
18,5,67,9,21.260098
19,5,83,9,17.92552
20,5,41,11,28.672052
21,5,41,7,23.390293
22,5,85,13,22.17028
23,5,44,3,16.187565
24,5,67,18,30.745543
25,5,96,18,25.120136
26,5,54,1,10.814768
27,5,82,18,27.835827
28,5,60,11,24.986317
29,5,73,1,6.854727
30,5,66,1,8.31377
31,5,47,18,34.62531
