Dia,Mes,Umidade,Velocidade do Vento,Temperatura Prevista (ºC)
1,1,51,16,20.952509
2,1,94,3,10.238076
3,1,85,4,13.410059
4,1,60,9,21.16351
5,1,81,15,9.124689
6,1,49,1,31.661083
7,1,44,15,24.509163
8,1,87,0,14.959358
9,1,68,7,18.920082
10,1,99,9,4.8642073
11,1,62,7,21.45906
12,1,79,15,9.911599
13,1,82,2,15.851496
14,1,59,1,26.852144
15,1,70,8,17.490467
16,1,76,3,17.81804
17,1,71,7,17.644371
18,1,47,2,31.788637
19,1,69,10,16.75498
20,1,46,3,31.428488
21,1,41,0,36.497475
22,1,94,0,12.082559
23,1,42,14,25.926884
24,1,73,14,12.837261
25,1,82,13,9.666742
26,1,97,3,8.98396
27,1,55,1,28.735422
28,1,85,12,8.953582
29,1,66,12,16.873383
30,1,55,7,24.421322
31,1,79,15,9.911599
1,2,88,9,9.32709
2,2,48,10,25.67141
3,2,86,0,15.385938
4,2,97,4,8.414456
5,2,70,18,12.051815
6,2,80,6,14.382534
7,2,40,0,37.0
8,2,76,15,11.0934305
9,2,90,12,6.9841084
10,2,99,18,0.4289579
11,2,76,4,17.247072
12,2,50,7,26.595024
13,2,98,7,6.306267
14,2,40,3,34.35415
15,2,87,10,9.19606
16,2,73,5,17.945776
17,2,58,14,19.12596
18,2,64,2,23.757936
19,2,99,18,0.4289579
20,2,52,4,27.824436
21,2,75,6,16.517443
22,2,44,2,33.25156
23,2,56,7,23.998402
24,2,85,14,8.017341
25,2,88,18,4.8484693
26,2,78,5,15.81764
27,2,72,12,14.349777
28,2,56,4,25.959822
29,2,77,6,15.663186
1,3,54,2,28.419376
2,3,99,13,2.8912568
3,3,92,8,8.209127
4,3,95,1,11.042921
5,3,44,17,23.360273
6,3,61,1,25.919014
7,3,82,3,15.272293
8,3,92,4,10.473967
9,3,48,15,22.814741
10,3,71,8,17.062973
11,3,45,4,31.087555
12,3,88,12,7.7719345
13,3,42,5,31.722757
14,3,86,7,11.2557535
15,3,77,7,15.082336
16,3,79,7,14.228812
17,3,94,19,1.955199
18,3,66,1,23.588842
19,3,96,4,8.821637
20,3,71,6,18.221378
21,3,69,14,14.503682
22,3,72,10,15.4734125
23,3,83,2,15.437179
24,3,52,4,27.824436
25,3,76,19,9.211249
26,3,67,18,13.23273
27,3,74,15,11.881073
28,3,69,12,15.598952
29,3,43,5,31.256283
30,3,50,17,20.798786
31,3,70,15,13.539625
1,4,46,7,28.367222
2,4,75,2,18.851274
3,4,91,1,12.692506
4,4,75,17,10.551193
5,4,69,5,19.63855
6,4,74,15,11.881073
7,4,82,12,10.183724
8,4,91,14,5.632818
9,4,40,12,27.915024
10,4,51,14,22.11494
11,4,95,6,8.096397
12,4,81,5,14.537171
13,4,62,11,19.16201
14,4,65,7,20.19012
15,4,51,16,20.952509
16,4,57,11,21.291979
17,4,77,18,9.294882
18,4,58,3,25.791096
19,4,99,16,1.3917342
