Dia,Mes,Umidade,Velocidade do Vento,Temperatura Prevista (ºC)
1,1,83,4,25.724264
2,1,87,1,29.62906
3,1,87,14,9.637654
4,1,83,3,27.26207
5,1,58,11,19.374573
6,1,83,5,24.18646
7,1,56,5,28.788633
8,1,50,1,35.419926
9,1,70,13,14.179628
10,1,51,15,14.453447
11,1,90,9,16.795116
12,1,43,2,35.08363
13,1,64,14,13.699047
14,1,94,3,25.313381
15,1,55,0,36.06711
16,1,87,12,12.713264
17,1,84,13,11.706966
18,1,82,19,2.8285174
19,1,65,11,18.139677
20,1,56,11,19.727392
21,1,53,18,9.475493
22,1,93,19,0.88587195
23,1,69,10,18.97302
24,1,46,9,24.569633
25,1,52,17,11.193868
26,1,45,8,26.225138
27,1,83,2,28.79976
28,1,73,16,9.033331
29,1,79,13,12.591854
30,1,77,1,31.209919
31,1,55,18,9.124136
1,2,76,2,29.942814
2,2,68,19,5.297357
3,2,67,5,27.020823
4,2,90,19,1.4172096
5,2,81,3,27.61635
6,2,76,4,26.964334
7,2,50,5,29.721466
8,2,66,6,25.658333
9,2,64,4,28.969511
10,2,68,18,6.8374667
11,2,80,3,27.793518
12,2,85,14,9.992049
13,2,78,2,29.630295
14,2,83,2,28.79976
15,2,60,6,26.716734
16,2,45,6,29.074396
17,2,51,6,28.141562
18,2,56,18,8.948456
19,2,62,1,33.553078
20,2,62,7,24.824932
21,2,46,4,31.768068
22,2,67,4,28.501858
23,2,45,14,17.05092
24,2,90,5,22.946335
25,2,86,9,17.503847
26,2,62,2,32.129715
27,2,42,16,14.493551
28,2,86,18,3.661947
1,3,80,15,9.33739
2,3,82,9,18.212465
3,3,84,5,24.009235
4,3,72,12,15.365738
5,3,65,13,15.061678
6,3,48,16,13.439421
7,3,73,13,13.650314
8,3,83,13,11.884134
9,3,81,16,7.622023
10,3,94,1,28.38899
11,3,67,11,17.786856
12,3,56,13,16.649424
13,3,48,2,34.30627
14,3,43,4,32.23443
15,3,50,11,20.78591
16,3,65,8,22.756687
17,3,40,19,10.216601
18,3,69,4,28.189564
19,3,71,17,7.8471656
20,3,67,9,20.864882
21,3,49,4,31.301653
22,3,84,1,30.116386
23,3,71,4,27.850065
24,3,84,3,27.0849
25,3,57,2,32.90702
26,3,92,1,28.743216
27,3,64,7,24.472223
28,3,84,6,22.471487
29,3,82,6,22.825823
30,3,94,11,13.010944
31,3,59,12,17.659208
1,4,61,14,14.228305
2,4,66,5,27.197262
3,4,65,15,11.983652
4,4,69,19,5.1217065
5,4,67,9,20.864882
6,4,74,7,22.705256
7,4,85,18,3.8383567
8,4,59,4,29.746872
9,4,45,8,26.225138
10,4,55,14,15.286793
11,4,89,2,27.73686
12,4,76,18,5.426075
13,4,75,9,19.45259
14,4,92,6,21.054249
15,4,51,13,17.531446
16,4,71,5,26.312262
17,4,76,19,3.8870895
18,4,75,9,19.45259
19,4,87,14,9.637654
20,4,94,5,22.237772
21,4,71,12,15.542232
22,4,42,7,28.11621
23,4,88,5,23.300673
24,4,48,12,19.599802
25,4,68,19,5.297357
26,4,66,13,14.885352
27,4,77,10,17.56045
28,4,97,9,15.555047
29,4,49,0,37.0
30,4,54,15,13.92419
1,5,72,0,33.4143
2,5,56,6,27.364143
3,5,96,8,17.27002
4,5,83,13,11.884134
5,5,78,18,5.0732546
6,5,86,13,11.352684
7,5,57,13,16.473042
8,5,88,9,17.14951
9,5,53,16,12.560996
10,5,62,19,6.3515453
11,5,50,16,13.088005
12,5,86,6,22.11715
13,5,98,6,19.991348
14,5,52,1,35.108982
15,5,96,17,3.4299471
16,5,90,14,9.106205
17,5,75,0,32.94569
18,5,61,15,12.68932
19,5,49,2,34.15091
20,5,46,16,13.790779
21,5,85,10,16.143211
22,5,60,3,31.015944
23,5,73,19,4.4163475
24,5,82,14,10.523442
25,5,51,14,15.9925165
26,5,79,2,29.473982
27,5,95,17,3.6069753
28,5,79,16,7.974815
29,5,67,11,17.786856
30,5,47,15,15.157935
31,5,50,2,33.99527
1,6,46,19,9.1624975
2,6,44,16,14.142138
3,6,63,19,6.175866
4,6,88,8,18.687315
5,6,94,14,8.397698
6,6,90,14,9.106205
7,6,52,9,23.511003
8,6,55,19,7.5813
9,6,77,8,20.636002
10,6,59,7,25.354244
11,6,53,2,33.529022
12,6,81,4,26.078602
13,6,59,9,22.276218
14,6,63,11,18.49244
15,6,58,5,28.477743
16,6,55,10,21.442873
17,6,66,8,22.580307
18,6,91,0,30.446272
19,6,71,13,14.003135
20,6,74,13,13.473932
21,6,87,0,31.071085
22,6,50,5,29.721466
23,6,63,5,27.70044
24,6,88,14,9.460515
25,6,85,4,25.369926
26,6,41,10,23.912613
27,6,62,6,26.363914
28,6,44,2,34.928158
29,6,69,6,25.128736
30,6,43,3,33.65909
1,7,91,12,12.004674
2,7,66,9,21.041265
3,7,91,9,16.61806
4,7,52,5,29.41058
5,7,46,8,26.069666
6,7,95,17,3.6069753
7,7,84,15,8.631413
8,7,46,11,21.491495
9,7,46,2,34.617214
10,7,43,2,35.08363
11,7,71,3,29.300352
12,7,99,1,27.503204
13,7,51,17,11.369604
14,7,75,2,30.09896
15,7,70,15,11.101602
16,7,50,2,33.99527
17,7,95,13,9.75825
18,7,42,17,12.950802
19,7,86,2,28.268423
20,7,42,14,17.579166
21,7,63,2,31.97351
22,7,57,18,8.772777
23,7,87,6,21.939981
24,7,54,9,23.15824
25,7,48,15,14.982228
26,7,73,1,31.834845
27,7,90,12,12.181871
28,7,72,1,31.990934
29,7,68,7,23.76647
30,7,42,5,30.965357
31,7,87,9,17.326677
1,8,60,7,25.177807
2,8,64,12,16.77713
3,8,97,5,21.706266
4,8,45,7,27.64974
5,8,70,10,18.796583
6,8,93,8,17.80147
7,8,82,0,31.852213
8,8,88,7,20.225006
9,8,85,17,5.377314
10,8,97,2,26.31968
11,8,60,11,19.021753
12,8,42,8,26.691666
13,8,96,2,26.49685
14,8,44,6,29.229755
15,8,56,13,16.649424
16,8,98,6,19.991348
17,8,86,13,11.352684
18,8,95,1,28.211765
19,8,81,18,4.544053
20,8,49,8,25.57936
21,8,48,2,34.30627
22,8,58,7,25.530626
23,8,63,13,15.41447
24,8,49,19,8.63546
25,8,89,5,23.123503
26,8,71,13,14.003135
27,8,88,9,17.14951
28,8,47,3,33.037197
29,8,86,12,12.890545
30,8,93,16,5.4990892
31,8,93,5,22.41483
1,9,48,17,11.896726
2,9,43,9,25.098778
3,9,68,0,34.03917
4,9,94,0,29.926739
5,9,77,15,9.866676
6,9,52,11,20.433035
7,9,52,13,17.355007
8,9,61,16,11.150222
9,9,79,18,4.8968163
10,9,52,0,36.533585
11,9,56,10,21.266436
12,9,66,10,19.502222
13,9,82,16,7.445529
14,9,83,1,30.272533
15,9,94,11,13.010944
16,9,78,13,12.768292
17,9,94,10,14.548833
18,9,42,17,12.950802
19,9,99,15,5.974106
20,9,94,1,28.38899
21,9,49,10,22.501389
22,9,87,15,8.099907
23,9,44,17,12.59933
24,9,83,8,19.573103
25,9,57,4,30.057873
26,9,93,18,2.4235923
27,9,91,17,4.3156505
28,9,84,10,16.320381
29,9,91,16,5.853483
30,9,67,11,17.786856
1,10,69,18,6.6610284
2,10,67,19,5.473065
3,10,68,6,25.305456
4,10,91,10,15.080255
5,10,55,13,16.825806
6,10,62,10,20.20792
7,10,44,10,23.383354
8,10,65,13,15.061678
9,10,63,12,16.953512
10,10,93,9,16.263779
11,10,62,18,7.894268
12,10,82,7,21.28802
13,10,42,9,25.266954
14,10,96,10,14.194551
15,10,51,16,12.912383
16,10,47,5,30.187996
17,10,52,6,27.985977
18,10,51,6,28.141562
19,10,78,9,18.920973
20,10,56,8,24.344463
21,10,42,9,25.266954
22,10,64,19,6.00013
23,10,47,16,13.615043
24,10,66,9,21.041265
25,10,86,18,3.661947
26,10,65,1,33.08441
27,10,79,16,7.974815
28,10,77,13,12.94473
29,10,69,0,33.88291
30,10,58,5,28.477743
31,10,52,7,26.561432
1,11,51,1,35.2644
2,11,50,2,33.99527
3,11,46,7,27.494322
4,11,62,18,7.894268
5,11,61,9,21.923342
6,11,78,8,20.45889
7,11,77,9,19.098198
8,11,83,11,14.959688
9,11,54,12,18.54123
10,11,48,11,21.138786
11,11,70,9,20.335682
12,11,91,18,2.777902
13,11,50,3,32.57067
14,11,45,18,10.880928
15,11,97,1,27.857485
16,11,92,16,5.676314
17,11,67,11,17.786856
18,11,57,1,34.331566
19,11,68,7,23.76647
20,11,96,12,11.118942
21,11,70,9,20.335682
22,11,45,4,31.923485
23,11,58,9,22.4526
24,11,98,11,12.302325
25,11,98,19,0.0
26,11,45,7,27.64974
27,11,89,17,4.6700163
28,11,92,4,24.129915
29,11,70,16,9.562505
30,11,42,19,9.865243
1,12,91,16,5.853483
2,12,97,1,27.857485
3,12,55,17,10.666802
4,12,43,9,25.098778
5,12,48,2,34.30627
6,12,45,8,26.225138
7,12,64,19,6.00013
8,12,87,18,3.4854808
9,12,50,3,32.57067
10,12,48,12,19.599802
11,12,76,1,31.366123
12,12,75,13,13.297579
13,12,62,19,6.3515453
14,12,45,19,9.338121
15,12,47,17,12.072405
16,12,63,11,18.49244
17,12,48,4,31.457125
18,12,90,6,21.408585
19,12,75,15,10.219468
20,12,95,1,28.211765
21,12,68,14,12.993407
22,12,66,18,7.1901183
23,12,86,2,28.268423
24,12,48,3,32.881725
25,12,77,7,22.17375
26,12,41,6,29.696173
27,12,86,7,20.579401
28,12,67,19,5.473065
29,12,60,7,25.177807
30,12,94,6,20.699911
31,12,96,19,0.35439375
